,comments,sent,score
0,"Loved this upload, Parkev Tatevosian, CFA. I broke that thumbs up icon on your content. Continue to keep the superior work. Can&#39;t wait to see your next upload from you.",POSITIVE,0.9997684359550476
1,We will see how stock may go down on great earnings 😅,POSITIVE,0.6737707853317261
2,"Thanks Professor, Alphabet stock analysis after the quarterly report please",POSITIVE,0.9865356087684631
3,You’re explanations are very helpful. Thank you,POSITIVE,0.9998372793197632
4,Was waiting for this one. Thank you Sir,POSITIVE,0.9996920824050903
5,"Short, clear, and educational for me.",POSITIVE,0.9987853169441223
6,Thanks for the analysis,POSITIVE,0.9997522234916687
7,Great video as always professor!,POSITIVE,0.999872088432312
8,"please also share if you have invested in that specific days you discuss about specific stocks,,,",POSITIVE,0.9981777667999268
9,Well explained keep up the good content professor,POSITIVE,0.9998338222503662
10,Seeing Mrinal and Pratik together in a video is a miracle 😂,POSITIVE,0.9995290040969849
11,"Fun fact: &quot;Military Grade&quot; is just a marketing fad, military grade in reality means cheapest bulk manufacturing with minimum basic  quality checks.",NEGATIVE,0.983014702796936
12,"<a href=""https://www.youtube.com/watch?v=fa6deAziei8&amp;t=406"">6:46</a> I&#39;ll need it to store my highly confidential study folder",NEGATIVE,0.9974877834320068
13,"<a href=""https://www.youtube.com/watch?v=fa6deAziei8&amp;t=128"">2:08</a>  directly saying to the guys who says Adwiser 😂",NEGATIVE,0.9801924824714661
14,Consider making a Unbiased Video on Gaming Laptops under 60000,NEGATIVE,0.9970976114273071
15,Raspberry Pi was the unexpected one that&#39;s good,POSITIVE,0.999855637550354
16,"<a href=""https://www.youtube.com/watch?v=fa6deAziei8&amp;t=129"">2:09</a> was personal 🥲😅",NEGATIVE,0.9905019998550415
17,Who think laptop&#39;s webcam was better than the phone&#39;s camera quality 😂,NEGATIVE,0.8243108987808228
18,No adwiser today. We up 🗣🗣,POSITIVE,0.9498226046562195
19,Pls bring the useful desk gadgets video.<br>Also can u suggest me a good wireless keyboard and mouse to be used with external display connected to a laptop.,POSITIVE,0.9089273810386658
