,date,stock,contents,sent,score
0,2024-07-30 02:10:38,Microsoft,"I&#39;m &#39;most bullish&#39; on Microsoft, says Madrona&#39;s Mike McIlwain after Big Tech&#39;s bumpy week",NEGATIVE,0.9296377897262573
1,2024-07-30 02:10:38,Microsoft,Microsoft Copilot Tutorial for Beginners,NEGATIVE,0.9858712553977966
2,2024-07-30 02:10:38,Microsoft,"CrowdStrike Update: Latest News, Lessons Learned from a Retired Microsoft Engineer",POSITIVE,0.9908713698387146
3,2024-07-30 02:10:38,Microsoft,Microsoft Purview All New Unified Portal  FULL DEMO,NEGATIVE,0.9724335074424744
4,2024-07-30 02:10:38,Microsoft,How CrowdStrike broke Windows computers everywhere. #mkbhd #waveformpodcast #microsoft,NEGATIVE,0.9793952107429504
5,2024-07-30 02:10:38,Microsoft,Copilot for Microsoft 365 | Reimagine what’s possible,POSITIVE,0.8712581992149353
6,2024-07-30 02:10:38,Microsoft,"🔥 Create &amp; Deploy a NextJs Full Stack Microsoft Loop 2.0 App with React, Gemini API, Clerk",NEGATIVE,0.9819480180740356
7,2024-07-30 02:10:38,Microsoft,Why Microsoft Skipped Windows 9 #Shorts,NEGATIVE,0.9991275668144226
8,2024-07-30 02:10:38,Microsoft,🤷‍♂️ What is Microsoft 365 - Explained,NEGATIVE,0.9699876308441162
9,2024-07-30 02:10:38,Microsoft,The Microsoft 365 Copilot AI Event in Less than 3 Minutes,NEGATIVE,0.9963818788528442
10,2024-07-30 02:10:38,Microsoft,Global tech outage: Microsoft VP explains what went wrong,NEGATIVE,0.9996159076690674
11,2024-07-30 02:10:38,Microsoft,How the CrowdStrike-Microsoft global tech outage unfolded,POSITIVE,0.9540026187896729
12,2024-07-30 02:10:38,Microsoft,CrowdStrike IT Outage Explained by a Windows Developer,NEGATIVE,0.9475153088569641
13,2024-07-30 02:10:38,Microsoft,Microsoft Flight Simulator - NEW PLANES IN AUGUST,POSITIVE,0.9853456020355225
14,2024-07-30 02:10:38,Microsoft,Microsoft Word for Beginners - The Complete Course,POSITIVE,0.990557074546814
15,2024-07-30 02:10:38,Microsoft,Network issues linked to Microsoft systems causing outages at businesses worldwide,NEGATIVE,0.9973556995391846
16,2024-07-30 02:10:38,Microsoft,Microsoft Engineer becomes Auto Driver? 😱 #shorts,NEGATIVE,0.9987429976463318
17,2024-07-30 02:10:38,Microsoft,🚀 Unlock These 5 Microsoft Copilot Features!,POSITIVE,0.9966303706169128
18,2024-07-30 02:10:38,Microsoft,Global Microsoft 365 and CrowdStrike outage leaves users without communications access | 7NEWS,NEGATIVE,0.9984306693077087
19,2024-07-30 02:10:38,Microsoft,What caused the CrowdStrike-Microsoft global tech outage?,NEGATIVE,0.9986531734466553
20,2024-07-30 02:10:38,Microsoft,Microsoft Outage: What We Know So Far,NEGATIVE,0.9938738346099854
21,2024-07-30 02:10:38,Microsoft,CrowdStrike IT outage continues to cause global disruption | BBC News,NEGATIVE,0.9799684286117554
22,2024-07-30 02:10:38,Microsoft,Global Cyber Outage: How did Microsoft Crash Worldwide? | Vantage with Palki Sharma,NEGATIVE,0.9942418932914734
23,2024-07-30 02:10:38,Microsoft,What Your Boss Can TRACK About YOU with Microsoft Teams,POSITIVE,0.9970990419387817
24,2024-07-30 02:10:38,Microsoft,How to Use Microsoft Teams Effectively | Your COMPLETE Guide,POSITIVE,0.986478865146637
25,2024-07-30 02:10:38,Microsoft,Improve screen visibility on @surface  #Microsoft #shorts #accessibilty,POSITIVE,0.7802140116691589
26,2024-07-30 02:10:38,Microsoft,🏫 Microsoft Teams Tutorial in 10 min,NEGATIVE,0.9737733006477356
27,2024-07-30 02:10:38,Apple,The Underdogs: OOO (Out Of Office) | Apple at Work,NEGATIVE,0.9962632060050964
28,2024-07-30 02:10:38,Apple,Charli xcx - Apple (official lyric video),POSITIVE,0.7313930988311768
29,2024-07-30 02:10:38,Apple,WWDC 2024 — June 10 | Apple,POSITIVE,0.8675241470336914
30,2024-07-30 02:10:38,Apple,Apple’s New Computer Will DESTROY The Entire Industry!,NEGATIVE,0.9996029734611511
31,2024-07-30 02:10:38,Apple,Apple&#39;s BAD NEWS! iPhone 16 SE,NEGATIVE,0.9992376565933228
32,2024-07-30 02:10:38,Apple,Apple&#39;s AI Upgrades Said to Come Later Than Expected,NEGATIVE,0.9925328493118286
33,2024-07-30 02:10:38,Apple,Charli xcx - Apple (Lyrics),POSITIVE,0.9502422213554382
34,2024-07-30 02:10:38,Apple,Apple&#39;s surprise 2024 product LEAKED! iPhone 16 Changes!,NEGATIVE,0.9943245053291321
35,2024-07-30 02:10:38,Apple,Why the United States is Suing Apple,NEGATIVE,0.9975730776786804
36,2024-07-30 02:10:38,Apple,Unlocking My Tesla With Apple Vision Pro 😈,POSITIVE,0.9969557523727417
37,2024-07-30 02:10:38,Apple,Apple Watch X (2024) FIRST LOOK! Bad News...,NEGATIVE,0.9997357726097107
38,2024-07-30 02:10:38,Apple,iOS 18 - Apple Leaked This!,NEGATIVE,0.9979897737503052
39,2024-07-30 02:10:38,Apple,iOS 18.1 Beta 1 CONFIRMED - Coming This Week With Apple intelligence!,POSITIVE,0.9146207571029663
40,2024-07-30 02:10:38,Apple,Saving the Vision Pro: How Apple Could Make a Cheaper Headset,NEGATIVE,0.9568320512771606
41,2024-07-30 02:10:38,Apple,The real reasons Apple won’t put macOS on the iPad,NEGATIVE,0.9833869338035583
42,2024-07-30 02:10:38,Apple,Introducing Apple Vision Pro,POSITIVE,0.9974132180213928
43,2024-07-30 02:10:38,Apple,iPhone 17 Slim - Apple&#39;s BIGGEST Change to iPhone Yet!,POSITIVE,0.9617775082588196
44,2024-07-30 02:10:38,Apple,Why Apple&#39;s iPhone 16 September Event will BLOW YOUR MIND!,NEGATIVE,0.9920852780342102
45,2024-07-30 02:10:38,Apple,"ABC Phonic Song - Toddler Learning Video Songs, A for Apple, Nursery Rhymes, Alphabet Song for kids",NEGATIVE,0.9017260670661926
46,2024-07-30 02:10:38,Apple,Privacy on iPhone | Flock | Apple,NEGATIVE,0.7234824895858765
47,2024-07-30 02:10:38,Apple,Sweet Apple | D Billions Kids Songs,POSITIVE,0.9985058307647705
48,2024-07-30 02:10:38,Apple,PIKOTARO - PPAP (Pen Pineapple Apple Pen) (Long Version) (Official Video) [Ultra Records],NEGATIVE,0.9949406385421753
